City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avera,US,33.194,-82.5271,90.91,47,100,8.57,overcast clouds
80,Samarinda,ID,-0.5,117.15,72.01,100,94,1.99,overcast clouds
81,Bose,IT,45.4612,8.0137,73.83,87,44,8.77,light rain
82,Port Alfred,ZA,-33.5906,26.891,56.5,72,0,16.17,clear sky
83,Castro,BR,-24.7911,-50.0119,63.61,64,91,1.28,overcast clouds
84,Port Elizabeth,ZA,-33.918,25.5701,59.29,75,0,16.11,clear sky
85,Mokhsogollokh,RU,61.4681,128.9203,64.72,81,73,4.34,broken clouds
86,Dikson,RU,73.5069,80.5464,45.48,94,98,24.07,light rain
87,Mahebourg,MU,-20.4081,57.7,67.24,79,17,11.97,few clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,54.09,93,100,11.99,overcast clouds
89,Sistranda,NO,63.7256,8.834,58.96,94,100,8.81,overcast clouds
90,Saskylakh,RU,71.9167,114.0833,65.86,78,98,4.97,overcast clouds
91,Vaini,TO,-21.2,-175.2,73.06,67,100,16.31,overcast clouds
92,El Colomo,MX,19.05,-104.25,83.05,79,100,4.72,overcast clouds
93,Centralia,US,46.7162,-122.9543,89.44,47,0,3.44,clear sky
94,Severo-Kurilsk,RU,50.6789,156.125,51.78,90,100,9.73,overcast clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,71.55,90,77,8.01,broken clouds
96,Saint George,US,37.1041,-113.5841,96.8,33,0,16.11,clear sky
97,Santa Maria,BR,-29.6842,-53.8069,76.3,73,0,9.22,clear sky
98,Riyadh,SA,24.6877,46.7219,93.92,14,60,10.16,broken clouds
99,Saint-Augustin,CA,51.226,-58.6502,58.68,98,100,9.86,overcast clouds
100,Panama City,PA,8.9936,-79.5197,78.93,84,40,10.36,scattered clouds
101,Igarka,RU,67.4667,86.5833,49.35,93,71,4.81,broken clouds
102,Monroe,US,43.1501,-77.6831,77.45,54,75,12.66,broken clouds
103,Jamestown,US,42.097,-79.2353,76.51,53,35,7.0,scattered clouds
104,Lac Du Bonnet,CA,50.2536,-96.0612,72.84,53,92,7.27,overcast clouds
105,Butaritari,KI,3.0707,172.7902,82.06,70,88,21.21,overcast clouds
106,Yellowknife,CA,62.456,-114.3525,69.57,49,6,17.0,clear sky
107,Necochea,AR,-38.5473,-58.7368,51.66,86,100,14.25,moderate rain
108,Balabac,PH,7.9868,117.0645,80.8,79,81,6.02,broken clouds
109,Joshimath,IN,30.5667,79.5667,71.28,89,99,0.98,overcast clouds
110,Yumen,CN,40.2833,97.2,73.63,36,39,7.81,scattered clouds
111,Khatanga,RU,71.9667,102.5,66.18,59,23,2.8,few clouds
112,Saldanha,ZA,-33.0117,17.9442,55.45,58,0,9.82,clear sky
113,Katsuura,JP,35.1333,140.3,79.39,90,94,17.52,overcast clouds
114,Alcaniz,ES,41.05,-0.1333,78.82,42,0,18.01,clear sky
115,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,0,13.8,clear sky
116,Upernavik,GL,72.7868,-56.1549,39.58,90,47,11.97,scattered clouds
117,East London,ZA,-33.0153,27.9116,56.53,67,0,10.98,clear sky
118,Hanna,CA,51.6334,-111.9018,67.86,70,98,5.99,overcast clouds
119,Caravelas,BR,-17.7125,-39.2481,70.38,83,49,5.53,scattered clouds
120,Hobart,AU,-42.8794,147.3294,51.66,93,75,4.61,broken clouds
121,Guayaramerin,BO,-10.8368,-65.3614,93.76,30,8,1.81,clear sky
122,Matagami,CA,49.7502,-77.6328,57.18,79,100,9.01,overcast clouds
123,Americus,US,32.0724,-84.2327,91.53,49,40,0.0,scattered clouds
124,Kaeo,NZ,-35.1,173.7833,57.33,97,39,18.1,scattered clouds
125,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,83,0,17.27,clear sky
126,Bredasdorp,ZA,-34.5322,20.0403,48.15,78,0,4.0,clear sky
